               Pwr1   Pwr2   Pwr3      
    SN         2402   2442   2480     Test End Time
--------------------------------------------------------
    
358441080000   3.64   3.52   3.01   2017/6/6 9:23:10
358441080000   3.44   3.46   3.03   2017/6/6 9:24:44
358441080000   3.56   3.46   3.01   2017/6/6 9:28:30
358441080000   3.63   3.55   3.06   2017/6/6 9:29:38
358441080000   3.61   3.45   3.12   2017/6/6 9:30:24
358441080000   3.58   3.68   2.94   2017/6/6 9:31:01
358441080000   3.67   3.41   2.96   2017/6/6 9:32:01
358441080000   3.50   3.52   2.97   2017/6/6 9:33:45
358441080000   3.59   3.55   3.02   2017/6/6 9:34:49
358441080000   3.43   3.61   3.00   2017/6/6 9:35:53
358441080000   3.60   3.48   2.88   2017/6/6 9:38:39
358441080000   3.75   3.83   3.25   2017/6/6 9:52:42
358441080000   3.85   3.78   3.32   2017/6/6 9:53:13
358441080000   3.76   3.73   3.32   2017/6/6 9:53:48
358441080000   3.82   3.84   3.23   2017/6/6 9:55:02
358441080000   3.78   3.74   3.32   2017/6/6 10:05:32
358441080000   3.84   3.80   3.22   2017/6/6 10:06:27
358441080000   3.72   3.69   3.26   2017/6/6 10:17:15
358441080000   3.84   3.61   3.26   2017/6/6 10:17:59
358441080000   3.82   3.78   3.25   2017/6/6 10:21:56
358441080000   3.73   3.65   3.38   2017/6/6 10:27:35
358441080000   3.79   3.60   3.10   2017/6/6 10:31:17
358441080000   3.72   3.65   3.28   2017/6/6 10:32:20
358441080000   3.71   3.68   3.25   2017/6/6 10:32:56
358441080000   3.80   3.73   3.18   2017/6/6 10:33:31
358441080000   3.64   3.73   3.37   2017/6/6 10:37:19
358441080000   3.85   3.76   3.34   2017/6/6 10:37:50
358441080000   3.82   3.73   3.25   2017/6/6 10:38:25
358441080000   3.92   3.72   3.28   2017/6/6 10:38:56
358441080000   3.74   3.75   3.22   2017/6/6 10:39:53
358441080000   3.77   3.69   3.20   2017/6/6 10:40:24
358441080000   3.76   3.71   3.24   2017/6/6 10:40:56
358441080000   3.74   3.71   3.28   2017/6/6 10:42:01
358441080000   3.82   3.60   3.33   2017/6/6 10:42:32
358441080000   3.77   3.72   3.27   2017/6/6 10:43:04
358441080000   3.62   3.61   3.34   2017/6/6 10:43:36
358441080000   3.68   3.80   3.21   2017/6/6 10:44:07
358441080000   3.69   3.74   3.30   2017/6/6 10:44:39
358441080000   3.66   3.72   3.25   2017/6/6 10:45:11
358441080000   3.81   3.73   3.26   2017/6/6 10:45:42
358441080000   3.75   3.70   3.30   2017/6/6 10:46:14
358441080000   3.81   3.79   3.23   2017/6/6 10:46:46
358441080000   3.79   3.57   3.32   2017/6/6 10:47:17
358441080000   3.64   3.55   3.21   2017/6/6 10:47:49
358441080000   3.75   3.71   3.23   2017/6/6 10:48:58
358441080000   3.75   3.68   3.25   2017/6/6 10:49:29
358441080000   3.78   3.75   3.33   2017/6/6 10:50:01
358441080000   3.74   3.66   3.32   2017/6/6 10:50:32
358441080000   3.40   3.39   2.88   2017/6/7 14:57:55
358441080000   3.43   3.40   2.91   2017/6/7 14:58:27
358441080000   3.46   3.39   2.77   2017/6/7 14:58:59
